STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00054388,"JOHN MARTIN DAM, CO US",4/29/09,0,71,44
USC00054388,"JOHN MARTIN DAM, CO US",4/30/09,0,85,50
USC00054388,"JOHN MARTIN DAM, CO US",5/1/09,0,66,50
USC00054388,"JOHN MARTIN DAM, CO US",5/2/09,0,51,41
USC00054388,"JOHN MARTIN DAM, CO US",5/3/09,0,50,42
USC00054388,"JOHN MARTIN DAM, CO US",5/4/09,0.02,62,46
USC00054388,"JOHN MARTIN DAM, CO US",5/5/09,0,79,48
USC00054388,"JOHN MARTIN DAM, CO US",5/6/09,0,80,45
USC00054388,"JOHN MARTIN DAM, CO US",5/7/09,0,84,47
USC00054388,"JOHN MARTIN DAM, CO US",5/8/09,0,85,49
USC00054388,"JOHN MARTIN DAM, CO US",5/9/09,0,72,51
USC00054388,"JOHN MARTIN DAM, CO US",5/10/09,0,69,43
USC00054388,"JOHN MARTIN DAM, CO US",5/11/09,0,59,43
USC00054388,"JOHN MARTIN DAM, CO US",5/12/09,0,72,46
USC00054388,"JOHN MARTIN DAM, CO US",5/13/09,0,90,46
USC00054388,"JOHN MARTIN DAM, CO US",5/14/09,0,78,40
USC00054388,"JOHN MARTIN DAM, CO US",5/15/09,0,79,46
USC00054388,"JOHN MARTIN DAM, CO US",5/16/09,0,80,50
USC00054388,"JOHN MARTIN DAM, CO US",5/17/09,0,68,39
USC00054388,"JOHN MARTIN DAM, CO US",5/18/09,0,85,44
USC00054388,"JOHN MARTIN DAM, CO US",5/19/09,0,93,54
USC00054388,"JOHN MARTIN DAM, CO US",5/20/09,0,98,54
USC00054388,"JOHN MARTIN DAM, CO US",5/21/09,0,94,53
USC00054388,"JOHN MARTIN DAM, CO US",5/22/09,0.92,94,52
USC00054388,"JOHN MARTIN DAM, CO US",5/23/09,0,78,50
USC00054388,"JOHN MARTIN DAM, CO US",5/24/09,0,81,54
USC00054388,"JOHN MARTIN DAM, CO US",5/25/09,0,80,53
USC00054388,"JOHN MARTIN DAM, CO US",5/26/09,0.56,80,54
USC00054388,"JOHN MARTIN DAM, CO US",5/27/09,0.02,63,44
USC00054388,"JOHN MARTIN DAM, CO US",5/28/09,0,75,46
USC00054388,"JOHN MARTIN DAM, CO US",5/29/09,0,82,47
USC00054388,"JOHN MARTIN DAM, CO US",5/30/09,0,90,45
USC00054388,"JOHN MARTIN DAM, CO US",5/31/09,0,92,57
USC00054388,"JOHN MARTIN DAM, CO US",6/1/09,0,90,58
USC00054388,"JOHN MARTIN DAM, CO US",6/2/09,0.21,84,54
USC00054388,"JOHN MARTIN DAM, CO US",6/3/09,0.12,75,49
USC00054388,"JOHN MARTIN DAM, CO US",6/4/09,0,71,50
